,bikeName,transName,short
0,1023. 한국종합기술사옥 앞,삼성엔지니어링,0.039743
1,1024.  강동구청 앞,강동구청,0.098585
2,1025. 상일초등학교,상일초교,0.123597
3,1026. 대명초교 입구 교차로,한영중고한영외고,0.131614
4,1027. 프라자 아파트 앞,길동LG자이아파트,0.020425
5,1028. 포레스 주상복합 빌딩,성내주유소,0.060533000000000003
6,1029. 롯데 시네마,천호사거리.천호역6번출구,0.127997
7,1030. 미호 플랜트 앞,채선당앞,0.020279
8,1031. 암사동 CBIS,고덕주유소.선사초등학교,0.05795
9,1032. 선사고등학교,강일중선사고.양지종합시장,0.228739
10,1033. 고덕동 아남아파트,아남.대우아파트,0.03168
11,1034. 고덕동 래미안 힐스테이트,묘곡초교사거리,0.297713
12,1035. 고덕역 4번출구,고덕역,0.016972
13,1036. 고덕동 주양쇼핑,강동아트센터.강동경희대병원,0.25141399999999997
14,1037. 강일 6단지,강일리버파크8단지,0.032063999999999995
15,1038. 강일 다솜 어린이 공원,강일리버파크3단지.1단지,0.061636
16,1039. 고덕초등학교,고덕초등학교,0.219737
17,1041. 묘곡초등학교,고덕아이파크아파트,0.046907
18,1042. 강일 2.5단지 사이,강동중학교.2단지,0.031027
19,1044. 굽은다리역,굽은다리역구민회관.강동홈플러스,0.011068000000000001
20,1047. 건강보험 강동지사kt,예닮요양병원,0.176421
21,1048. 동부기업(둔촌동),보훈병원,0.118528
22,1049. 강일동 10단지 아파트,강일리버파크9단지후문,0.058004999999999994
23,1050.  둔촌역 3번 출입구,둔촌동역,0.046314999999999995
24,1051. 양지시장 (용성약국앞) 입구,강일중선사고.양지종합시장,0.015609
25,1052. 리싸이클시티,고덕평생학습관.온조대왕체육관,0.137986
26,1053. 동명근린공원 진입로 (아리수로),고덕중학교,0.28436
27,1054. 말우물 어린이 공원,해뜨는주유소,0.127681
28,1056. 강일리엔파크 7~11단지,강일리버파크8단지,0.12507000000000001
29,1057. 능골근린공원,고덕리엔파크2단지,0.122553
30,1058. 고덕숲 아이파크 1,고덕주공4단지,0.019727
31,1059. 레미안 강동팰리스(102동),강동역1번출구.동신중학교,0.228135
32,1060. 천일초교 사거리,천일초교사거리,0.029695999999999997
33,1061. 천호초교 입구 사거리(일주빌딩),암사시장,0.06301699999999999
34,1062. 고덕숲 아이파크 2,강동고등학교,0.150812
35,3539. 서원마을,서원마을,0.03141
36,1001. 광진교 남단 사거리(디지털프라자앞),서울현대요양병원,0.030962
37,1002. 해공공원(천호동),천호동공원,0.07616
38,1003. 해공도서관앞,서울현대요양병원,0.124196
39,1004. 삼성광나루아파트 버스정류장,삼성광나루아파트.암사동유적,0.005598
40,1006. 롯데캐슬 115동앞,서울시동부기술교육원,0.056708
41,1007.암사동 선사유적지,서울암사동유적,0.020887
42,1008. 암사역 3번출구(국민은행앞),암사역2번출구.암사종합시장,0.033828
43,1009. 천호역4번출구(현대백화점),천호,0.063707
44,1010. 강동세무서,길동사거리,0.049970999999999995
45,1011. LIGA 아파트 앞,길동사거리.강동세무서,0.067821
46,1012. 서울 상운차량,천호역,0.00702
47,1013. 강동구청역 1번 출입구,강동구청,0.060530999999999995
48,1014. 강동구평생학습관앞,성덕고등학교,0.060404
49,1015. 샛마을 근린공원,명일1동주민센터,0.061888
50,1016. 해뜨는 주유소옆 리엔파크 109동앞,고덕리엔파크2단지,0.040062
51,1017. 맥도날드(길동),길동우성아파트.은평교회맞은편,0.100214
52,1018. 둔촌 주공 GS 맞은편,둔촌종합상가,0.010506999999999999
53,1019. 다성이즈빌아파트(호원대 대각선 맞은편),한양수자인아파트,0.136713
54,1020. 강동경찰서,강동보건소,0.118272
55,1021. 강일동 리슈빌 빌딩앞,강동공영차고지,0.029776999999999998
56,1022. 길동 사거리(초소앞),길동사거리,0.041510000000000005
57,1336. 성북3교 위,삼선동주민센터,0.034829
58,1337. 돈암성당 옆,성북구청,0.062878
59,1338. 용문2교 옆,안암동주민센터,0.141203
60,1339. 삼성전자서비스 성북센터,숭곡초교입구,0.132219
61,1342. 성북쉼터 앞,성북초교,0.051922
62,1343. 한성대7번출구 앞,삼선교,0.010395
63,1344. 아리랑시네센터 앞,아리랑고개.아리랑시네미디어센터,0.020355
64,1346. 길음8골어린이공원 옆,현대아파트앞,0.0074329999999999995
65,1347. 길음래미안아파트817동 상가 앞,래미안609동앞,0.069595
66,1348. 성북제일새마을금고 본점 앞,길음시장입구,0.013516
67,1349. 월계2교 버스정류장 앞,월계2교,0.006019
68,1351. 안암2교 옆,대광초교,0.079083
69,1352. e 편한세상 보문아파트 내,보문,0.254979
70,1353. 금호어울림센터힐 내,길음역,0.13203
71,1354. 고려대학교 2번출구,종암로한진택배,0.195509
72,1355. 보문2교,보문2교,0.043993
73,1357. 북한산보국문역,북한산보국문역1번출구,0.017366
74,1358. 정릉도서관 앞,정릉2동주민센터,0.0482
75,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,북서울꿈의숲,0.002194
