,GU,XCODE,YCODE,stationName
0,종로구,126.9877498816,37.569765125100005,종로2가사거리
1,종로구,126.9965660023,37.5791830159,창경궁.서울대학교병원
2,종로구,126.99834010040001,37.5826711749,명륜3가.성대입구
3,종로구,126.9876130976,37.5685792736,종로2가.삼일교
4,종로구,127.00174399999999,37.586242999999996,혜화동로터리
5,종로구,126.966893,37.566137,서대문역사거리
6,종로구,126.97038,37.569134999999996,서울역사박물관.경희궁앞
7,종로구,126.97060900000001,37.569412,서울역사박물관.경희궁앞
8,종로구,126.9752507511,37.570135474000004,광화문
9,종로구,126.97808548799999,37.570216807,광화문
10,종로구,126.9809105247,37.5701184824,종로1가
11,종로구,126.9813906402,37.5702290311,종로1가
12,종로구,126.98554269979999,37.5701386788,종로2가
13,종로구,126.98624745020001,37.5702571998,종로2가
14,종로구,126.98956467209999,37.5702449756,종로3가.탑골공원
15,종로구,126.9899877751,37.5703605443,종로3가.탑골공원
16,종로구,126.99472188959999,37.5705069968,종로4가.종묘
17,종로구,126.9952838124,37.5706271118,종로4가.종묘
18,종로구,126.9988498093,37.570756793,종로5가.광장시장
19,종로구,126.9993346185,37.5708806279,종로5가.광장시장
20,종로구,127.0034638793,37.5709624756,종로6가.동대문종합시장
21,종로구,127.0057137364,37.5711272339,종로6가.동대문종합시장
22,종로구,127.01345123879999,37.572302321900004,동대문역.흥인지문
23,종로구,127.0120461121,37.5719529259,동대문(흥인지문)
24,종로구,127.0184514373,37.5737255179,동묘앞
25,종로구,127.01967200850001,37.574243448400004,동묘앞
26,종로구,126.96936345540001,37.5875502159,경기상고
27,종로구,126.97026536870001,37.5832657654,신교동
28,종로구,126.9697701102,37.5871907861,경기상고
29,종로구,126.9710436571,37.585113193000005,경복고교
30,종로구,126.9725135095,37.5878519552,청운중학교
31,종로구,126.96712618049999,37.5921866176,자하문고개.윤동주문학관
32,종로구,126.9671906625,37.5923353152,자하문고개.윤동주문학관
33,종로구,126.97246131979999,37.5881285775,청운중학교
34,종로구,126.9711546793,37.584966342600005,경복고교
35,종로구,126.97105004040002,37.5803257033,통인시장종로구보건소
36,종로구,126.9713851083,37.580513211799996,통인시장종로구보건소
37,종로구,126.9706209712,37.583091043,효자동
38,종로구,126.9679907155,37.5751355316,사직단
39,종로구,126.97132449620001,37.5761834563,사직동주민센터
40,종로구,126.97219601,37.5768666917,경복궁역
41,종로구,126.9722828893,37.577671386300004,경복궁역
42,종로구,126.9787471496,37.5755767894,경복궁
43,종로구,126.9773193291,37.5724064843,KT광화문지사
44,종로구,126.9763838838,37.569845398000005,광화문
45,종로구,126.971248,37.570023,서울역사박물관.경교장.강북삼성병원
46,종로구,126.97583700000001,37.570365,광화문
47,종로구,126.9765652658,37.5726577416,세종문화회관
48,종로구,126.9714842989,37.5757446636,서울지방경찰청.경복궁역
49,종로구,126.96818896100001,37.574855345799996,사직단
50,종로구,126.9765458935,37.569450752,광화문광화문빌딩
51,종로구,126.98196923229999,37.5757260055,덕성여중고
52,종로구,126.9840715924,37.5760056461,안국역.종로경찰서.인사동
53,종로구,126.9608880061,37.6046629766,국민은행세검정지점
54,종로구,126.9612198463,37.602502279899994,세검정초등학교
55,종로구,126.9587223861,37.600732598899995,세검정.상명대
56,종로구,126.958570225,37.5994133537,상명대입구
57,종로구,126.96170682350001,37.598133066500004,하림각
58,종로구,126.9636434993,37.5955935123,자하문터널입구.석파정
59,종로구,126.9639574356,37.5927380599,부암동주민센터.무계원
